seite,frage,antwort,reihenfolge,status
home,Ist die Nutzung von Fiskalis kostenlos?,"Ja. Die Suche, das Lesen von Bewertungen und das Schreiben einer eigenen Bewertung sind für Sie als Suchende:r immer kostenlos. Fiskalis finanziert sich ausschließlich über Jahres-Listings der gelisteten Anbieter.",1,published
home,Berät Fiskalis selbst in Steuer- oder Finanzfragen?,"Nein. Fiskalis ist ein unabhängiges Verzeichnis und erbringt selbst keine Steuer-, Finanz- oder Rechtsberatung. Wir vermitteln ausschließlich den Kontakt zu gelisteten Anbietern.",2,published
home,Werden die gelisteten Anbieter von Fiskalis geprüft?,"Nein. Fiskalis ist ein reines Verzeichnis- und Vermittlungsangebot — wir listen Anbieter, prüfen oder zertifizieren aber nicht deren fachliche oder berufsrechtliche Qualifikation. Verlassen Sie sich auf die Bewertungen echter Mandanten und Ihre eigene Recherche.",3,published
steuerberater,Was kostet ein Steuerberater in der Regel?,"Die Preise variieren stark je nach Umfang — von einer einfachen Einkommensteuererklärung bis zur laufenden Buchführung für ein Unternehmen. Viele der bei uns gelisteten Kanzleien geben eine Preisspanne direkt im Profil an.",1,published
steuerberater,Muss mein Steuerberater in meiner Nähe sitzen?,"Nein. Viele Kanzleien arbeiten vollständig remote — nutzen Sie den Filter „Nur bundesweit / remote”, um gezielt danach zu suchen.",2,published
finanzberater,Was ist der Unterschied zwischen Honorarberatung und klassischer Finanzberatung?,"Honorarberater:innen erhalten ausschließlich Ihr vereinbartes Honorar und keine Provisionen von Produktanbietern — das reduziert Interessenkonflikte bei Empfehlungen.",1,published
finanzberater,Ab welchem Vermögen lohnt sich eine Finanzberatung?,"Das hängt von Ihrer Situation ab, nicht nur vom Vermögen — auch bei überschaubarem Vermögen kann eine einmalige Ruhestandsplanung sinnvoll sein. Nutzen Sie unser <a href=&quot;/quiz/&quot;>Matching-Quiz</a>, um passende Berater:innen zu finden.",2,published
buchhalter,Was ist der Unterschied zwischen Buchhalter und Steuerberater?,"Buchhalter:innen übernehmen laufende Buchführung und Kontierung (§ 6 Nr. 4 StBerG), dürfen aber keine Steuererklärungen erstellen — das bleibt Steuerberater:innen vorbehalten. Viele Mandate nutzen beide in Kombination.",1,published
buchhalter,Arbeiten die gelisteten Buchhalter mit gängiger Software?,"Die meisten Profile geben an, mit welchen Tools sie arbeiten (z. B. DATEV, Lexoffice) — details finden Sie direkt im jeweiligen Anbieterprofil.",2,published
fuer-anbieter,Ist die Aufnahme garantiert?,"Nein. Wir behalten uns vor, Anfragen ohne Angabe von Gründen abzulehnen, um die Qualität des Verzeichnisses zu sichern.",1,published
fuer-anbieter,Fällt eine Vermittlungsprovision an?,"Nein, niemals. Sie zahlen ausschließlich die jährliche Listing-Gebühr — was Ihre Mandanten Ihnen zahlen, bleibt zu 100 % bei Ihnen.",2,published
fuer-anbieter,Kann ich mein Listing jederzeit kündigen?,"Das Listing läuft für eine Mindestlaufzeit von 12 Monaten mit einer Kündigungsfrist von 3 Monaten zum Laufzeitende — Details in den <a href=&quot;/anbieter-agb/&quot;>Vertragsbedingungen</a>.",3,published
